Firstname,Lastname,Pos,Team,Level,Pro Years
Wilson,Fultz,3B,Free Agent,A,0
Chad,Schepper,SS,PORT,A,0
Don,Duffey,LF,ELP,A,0
Royal,Schudel,CF,ELP,A,0
Ramiro,Russell,RF,IDA,A,0
Rich,Nougat,P,IDA,A,0
John,Goe,P,SUGR,A,0
Don,Brown,P,MIDL,A,0
Gary,Mixon,P,MAHO,ML,1
Bob,Logan,P,MAHO,A,0
Pedro,Schwan,P,SUGR,A,0
Hubert,Rose,P,EDMO,A,0
Barry,Lee,P,ROME,A,0
Julian,Brown,P,MAIN,A,3
Brian,Lee,P,WISC,A,0
Brian,Jones,P,PORT,A,0
Brandon,Gigantino,P,ROME,A,0
Edmond,Delmage,SS,ALTO,AA,0
Nathan,Yoder,P,CASP,AA,0
Edmundo,Nienaber,3B,SCRN,A,4
Al,Morga,CF,SCRN,A,0
Sig,Stewart,C,SCRN,A,0
Florentino,Hacher,CF,MAIN,A,0
Mike,Condry,CF,PEOR,A,0
Romeo,Seamon,SS,ROME,A,0
Martin,Book,3B,BANG,A,0
Chili,Spall,LF,OMA,A,0
Alfonso,Cradle,P,MAHO,ML,9
Mike,Kuehner,C,Free Agent,A,0
Ray,Dahline,1B,Free Agent,A,0
Otis,Schoeck,P,SCRN,AAA,0
Norm,Agamao,2B,RICH,A,0
Hipolito,Fernandez,P,IDA,AAA,0
Graham,Walser,3B,MIDL,A,0
Gerald,Mercado,SS,MIDL,A,0
George,Tep,LF,TEX,A,0
Mike,Klee,P,WISC,AAA,0
Carlton,Brandt,CF,PORT,A,0
Vernon,Snowden,P,Free Agent,A,8
Dash,Crofts,3B,IDA,AAA,0
Pike,Fisher,1B,MIDL,AAA,0
Bradley,Dumond,RF,CASP,A,0
Steve,Kotowski,P,CHES,A,0
George,Payne,P,WISC,A,0
Willie,Delano,P,ROME,A,0
Wallace,Lawson,P,SCRN,A,0
Tom,Parker,P,IDA,A,0
Rafael,Sabata,P,HILL,A,0
James,Carriedo,P,PORT,A,0
Tom,Manda,P,AUCK,A,0
Grady,Tigano,LF,PORT,ML,1
Carl,Broddy,P,PEOR,A,0
August,Michitsch,P,OKC,A,0
Aaron,Jorge,2B,CASP,AA,0
Dan,Wells,P,BANG,A,0
Nicholas,Mack,C,LOUI,A,0
Larry,McGuirl,RF,FRIS,A,0
Lonnie,Bellafiore,RF,Free Agent,A,0
Walter,Norfleet,3B,CASP,A,0
Jim,Head,C,PORT,A,0
Herman,Dominguez,1B,RICH,A,0
Charles,Hildebrandt,C,ROCK,A,0
Louis,McLaughlin,1B,Free Agent,A,0
Tomili,Jones,2B,SF,A,0
Dee,Knepshield,3B,NORW,A,0
Jessie,Koyanagi,SS,FRIS,A,0
Al,Simpson,LF,NORW,A,0
Pete,Smithhisler,CF,MAHO,A,0
Jeremy,Mathews,RF,Free Agent,A,0
Jerry,Tsuha,2B,AUCK,AA,0
Larry,Long,P,PORT,A,0
Jeffery,Payne,P,BANG,A,0
Larry,Vanhouten,P,ALTO,A,0
Errol,Sturkie,P,SUGR,A,0
Eric,Hendrick,P,IDA,A,0
Jerry,Gettys,P,ROCK,A,0
Mike,Ohotnicky,P,IDA,A,0
Marv,Idleburg,P,OKC,A,0
Nick,Walker,P,IDA,AA,0
Bob,Porth,1B,MAIN,A,4
Harvey,Rocher,P,ROCK,ML,8
Edwin,Phillips,P,CHES,A,0
John,Dilmore,P,MIDL,A,0
Dan,Slusarski,2B,ALTO,ML,5
Brandon,Pasha,1B,ALTO,ML,9
Van,Poinsette,P,MAHO,A,0
Mike,Stene,SS,DAY,A,0
Norman,Alig,P,WISC,AAA,0
Alfred,Braker,1B,Free Agent,A,0
John,Williamson,2B,LOUI,A,0
Jim,Moreno,2B,LAKE,A,0
Dennis,George,P,BANG,AA,0
L.O.,Newman,C,PORT,ML,2
Milton,Zhu,P,CASP,ML,1
Terence,Merchant,2B,ROCK,A,0
Rocky,Abrams,1B,MAIN,A,0
Dan,Bora,C,MAIN,A,0
Aaron,Lewis,1B,LYNC,A,0
Lucas,Bartley,P,LOUI,AA,0
Jose,Magby,RF,CHES,ML,6
Raul,Robinson,C,FRIS,A,9
James,Stjohn,P,NORW,A,7
Ed,Wilson,2B,Free Agent,A,0
Nicholas,Stevens,3B,FRIS,A,0
Gary,Tackitt,SS,HILL,A,0
Alan,Willis,LF,FRIS,A,0
John,Pedlar,CF,ELP,A,0
Al,Hamzik,RF,PORT,A,0
Garrett,Thibodeaux,P,BANG,A,0
Vean,Broussard,P,MIDL,A,0
Clayton,Wray,P,MAHO,A,0
Danny,Cecil,P,SCRN,A,0
Ernesto,Mages,P,HILL,A,0
Dandy,Kelly,P,OMA,A,0
Will,Boyd,P,Free Agent,A,0
Mike,Poer,P,CHES,AA,0
Thomas,Ullrich,LF,FRIS,AAA,0
Frank,Duval,P,AUCK,A,0
Brad,Dunlap,P,SUGR,A,0
Bullet Joe,Busch,SS,MAIN,ML,10
Carl,Sprague,P,HILL,A,0
Manny,Olson,P,ALTO,A,0
Yong,Campbell,CF,CASP,A,0
Oscar,Nelson,RF,MAIN,A,0
Sam,Sockwell,CF,MAHO,ML,0
Ira,Moon,1B,SF,A,0
Jimmy,Pestka,1B,ALTO,A,0
Christian,Russell,CF,RICH,A,0
Pearson,Kelley,LF,LOUI,A,0
Cornell,Snipes,CF,FRIS,AAA,0
Eric,Henthorn,RF,LYNC,AA,0
Frederick,Thornton,P,Free Agent,A,1
Terry,Goldberg,P,LOUI,ML,8
Alfred,Barnes,SS,ELP,AA,0
Piper,Maru,P,ROME,A,5
Larry,June,2B,SF,AAA,0
Keith,Salehi,P,IDA,AA,0
Garrett,Colon,P,AUCK,AAA,0
Eric,Heningburg,C,ROCK,AAA,0
Morgan,Bowdre,1B,MAIN,ML,0
Shane,Hariri,P,TEX,A,11
Jason,Franco,P,FRIS,AA,0
Cedric,Corns,P,CHES,ML,11
Mark,Hodgkinson,P,WISC,ML,8
Jim,Carvalho,SS,LOUI,ML,2
John,Ryon,C,NORW,AAA,0
Harry,Orscheln,P,CASP,A,10
Jose,Mitchell,P,WISC,AAA,0
Tom,Ward,P,PEOR,ML,0
Mike,Cumbo,P,ROCK,ML,1
Harry,Bormann,P,PEOR,ML,0
Joe,Bessette,RF,PORT,ML,5
Wesley,Gongalves,SS,IDA,AA,0
Woody,Wilson,1B,PORT,ML,5
Elijah,Koval Jr,2B,FRIS,ML,8
Hayden,Farmer,CF,IDA,ML,3
Anthony,Alfred,RF,PORT,AA,0
Boyd,Schroeder,P,BANG,A,5
Jordan,Placencia,3B,FRIS,ML,0
Davis,Clark,P,FRIS,ML,0
Garrett,Haugen,P,AUCK,A,2
Whiskey,Aleman,P,PORT,AA,0
Adrian,Kulakowski,C,IDA,ML,1
Bill,Sprecher,C,SF,ML,0
Christopher,Leyua,P,EDMO,ML,3
Jacob,Knepel,LF,OMA,ML,6
Carl,Statham,1B,CASP,AAA,0
Neil,Rickers,2B,ELP,AA,0
Ryan,Jax,C,LYNC,ML,1
Mike,Tippett,P,IDA,ML,1
Shorty,Jones,P,EDMO,ML,10
Anthony,Engman,C,ROCK,AAA,4
Jeffrey,Law,P,ROCK,ML,1
Ivory,Fries,P,BANG,AAA,0
Sol,Paquin,1B,CASP,ML,2
Fox,McCloud,SS,CHES,ML,6
Jeffrey,Farmer,P,Free Agent,A,9
Daniel,Calhoun,CF,ROCK,AA,0
Dave,Inglis,P,TEX,AAA,0
Charlie,Salvant,P,SCRN,ML,3
Chris,William,P,BANG,A,5
Del,Griffith,P,CASP,ML,8
Jimmie,Arnott,P,IDA,AA,0
Scott,Neville,CF,IDA,AAA,0
George,Acedo,RF,AUCK,A,7
Tom,Walder,LF,Free Agent,A,9
John,Corbin,P,LAKE,ML,3
Wendell,Beck,P,OKC,AAA,0
Harold,Pabey,P,EDMO,A,7
Francis,Bradley,C,FRIS,AAA,0
Dave,Savage,C,IDA,AA,0
William,Stennis,3B,LAKE,ML,13
Curtis,Grizzell,LF,RICH,A,4
Victor,Overmyer,C,NORW,AA,0
Sandy,Koufax,P,ROME,AA,0
Shane,Kohlmeier,RF,ELP,ML,4
Dan,Johnston,RF,SUGR,ML,0
Vincent,Donadio,P,PORT,ML,1
Latka,Gravas,P,RICH,AAA,0
Rich,Richard,2B,PORT,ML,7
Eddie,Dominque,SS,AUCK,AA,0
Jamison,Thompson,LF,DAY,AA,0
Wilson,Behringer,P,BANG,ML,0
Franklin,Annen,P,PORT,ML,8
Pi,Patel,P,NORW,ML,2
Dominic,Spataro,3B,EDMO,ML,12
Augie,Garrido,P,FRIS,ML,8
Gary,Lorts,1B,OKC,A,5
Jason,Waynick,LF,DAY,ML,0
Carlos,Terrell,P,DAY,ML,1
Lyle,Jenson,RF,CASP,AAA,0
Ibrahim,Moizoos,LF,RICH,AAA,0
Kelvin,Herrmann,RF,MAHO,AAA,0
Joe,Pikul,2B,IDA,AA,0
Lowell,Heisel,3B,MAIN,AA,0
Bryce,Jones,C,IDA,ML,2
John,Polanco,SS,LAKE,AAA,0
James,Re,P,OMA,ML,2
Brad,Goodman,P,IDA,ML,3
Albert,Sanchez,CF,IDA,AAA,0
Jefferson,Skains,P,Free Agent,A,8
Kimo,Humes,LF,OMA,ML,3
Dave,Votta,P,MIDL,AA,0
Rich,Waters,P,RICH,AA,0
Jack,Reed,P,PORT,AAA,0
Henry,Parker,3B,IDA,AA,0
Travis,Banks,RF,MAHO,AAA,0
Stanley,McCawley,1B,IDA,AA,0
Garry,Adcock,P,CHES,AAA,0
Archie,Ellis,RF,TEX,AAA,0
Angel,Eggleston,1B,ROME,ML,2
Barney,Miller,2B,FRIS,AAA,0
Christian,Eickhoff,P,FRIS,AAA,0
Charles,Patterson,SS,IDA,AAA,0
Wayne,Donchez,2B,ROCK,AAA,0
Laurence,Young,P,WISC,AAA,0
Nickolas,Salcedo,2B,WISC,AAA,0
Melvin,Travis,SS,Free Agent,A,14
Ivory,Hickernell,RF,CASP,AAA,0
Dave,Marlborough,LF,WISC,AA,0
Matthew,Klein,RF,ALTO,ML,5
Porter,Miller,P,IDA,AAA,4
Lenny,Briscoe,P,CASP,A,8
Chance,Williams,P,Free Agent,A,2
Amado,Stanford,P,MIDL,AAA,0
Paul,Acosta,RF,SCRN,AAA,0
Arthur,Brazzell,P,Free Agent,A,0
Killer,Tofu,P,PORT,ML,1
Issac,Yue,P,ALTO,AA,0
Emmanuel,Atwell,P,PEOR,AAA,2
Brian,Valles,P,SCRN,AA,0
Roger,Aaron,CF,SUGR,ML,8
Joe,Ashby,P,ALTO,ML,3
Andrew,Rice,2B,CHES,A,18
John,Charles,2B,LOUI,AA,0
Bill,Franklin,SS,MAHO,ML,6
Kyle,Booker,1B,FRIS,AAA,0
Anthony,McNeill,2B,SF,AA,0
Jimmie,Chavers,1B,SCRN,AAA,1
Douglas,Moher,CF,PORT,ML,10
Keith,Mordue,2B,CHES,AAA,0
Jason,Walker,3B,DAY,ML,5
Harris,Shank,P,MIDL,ML,1
Barnes,Noble,P,CASP,ML,2
Alec,Hardison,2B,HILL,ML,11
Clarenzo,Hernandez,P,LOUI,AAA,0
Filiberto,Supnet,LF,WISC,AA,0
Manuel,Price,3B,CASP,AAA,0
Jason,Lajoie,P,FRIS,AAA,0
Luis,Tyler,P,MIDL,ML,3
Mike,McDonald,P,ELP,ML,8
Benjamin,Sleighter,P,TEX,ML,3
Timothy,Maller,SS,SCRN,AAA,0
Elden,Whitehead,P,CASP,ML,5
Jim,McMurray,LF,LOUI,AAA,0
Larry,Gaubert,P,FRIS,ML,10
Charlie,Bellario,LF,CASP,AA,0
Ed,Langley,2B,LOUI,AAA,0
Jim,Hodgman,P,ALTO,ML,7
Ralph,Thompson,CF,PEOR,ML,0
Craig,Little,3B,WISC,AA,0
Jesse,Acevedo,P,OMA,AAA,0
Guillermo,Palacios,P,SCRN,ML,2
Tom,Skidmore,CF,HILL,AA,0
Val,Cagle,P,FRIS,ML,8
Nathan,Thompkins,P,WISC,AAA,0
Pizza,Wow,P,ELP,ML,4
Jaime,Hall,RF,TEX,ML,9
Jeffrey,Perez,P,LOUI,AA,0
Karl,Farbman,1B,MAHO,AAA,7
Ben,Lawrence,C,FRIS,ML,6
Geoff,Peterson,3B,SCRN,ML,5
Edwin,Graces,1B,AUCK,AAA,0
Jose,Sanders,3B,ELP,ML,5
Steve,Lahr,P,ALTO,AA,0
Miguel,Rivera,P,SCRN,AAA,0
Zach,Cole,RF,TEX,A,8
Lance,Pozzuoli,LF,ROCK,AAA,0
Darryl,Rossi,P,DAY,A,4
Kelly,Minjarez,RF,SCRN,AA,0
Alberto,Bunn,LF,Free Agent,A,4
Sol,Brown,3B,ELP,A,5
James,Lewis,CF,SCRN,AA,0
Louis,Brosnahan,LF,LAKE,A,9
Todd,Channing,P,PORT,ML,6
Morgan,Thompson,P,EDMO,ML,1
Seth,Gecko,3B,CASP,ML,5
Tom,Shaffer,P,ROCK,ML,5
Glenn,Bonet,P,ROME,ML,6
Seven,Costanza,P,IDA,A,4
Brett,Sorensen,P,TEX,A,10
Bob,Herrera,2B,OKC,ML,8
Kevin,Boomershine,LF,FRIS,AAA,0
Jeffrey,Horner,P,TEX,A,11
Dave,Guadalupe,P,TEX,AA,0
William,Shea,C,SCRN,AA,0
John,Madrid,P,ALTO,AA,0
Steve,Young,LF,ALTO,AA,0
Bill,Schlinger,P,AUCK,AA,0
Regan,Bloodworth,CF,FRIS,ML,5
Horace,Chugg,P,ALTO,AA,0
Lowell,Murrish,SS,FRIS,ML,7
Sophocles,Fox,RF,ELP,ML,13
Jack,Burton,3B,LYNC,ML,0
Buck,Gabourel,2B,SCRN,ML,2
Cheech,Marin,1B,OKC,A,5
Jay,Reimenschneider,P,EDMO,ML,10
Vance,Rivera,CF,SCRN,AA,0
Bob,Pendry,P,FRIS,AAA,0
Zeb,Supry,LF,IDA,AAA,0
Carlos,Hernandez,LF,ELP,AA,0
Dave,Nordyke,3B,CASP,AA,0
Douglas,Bonner,2B,IDA,AAA,0
Max,Luhman,LF,SCRN,AAA,0
Lech,Walesa,C,EDMO,AAA,0
Joseph,Israel,P,LAKE,AA,0
Mike,Young,1B,ROCK,AA,0
Davey,Beaver,C,OKC,AA,0
Andrew,Case,3B,Free Agent,A,11
Mike,Gholston,P,FRIS,ML,0
Roger,Sanchez,1B,ROCK,ML,8
Gordon,Stanger,P,FRIS,ML,1
Randy,Watkins,2B,MIDL,AAA,0
Karl,Godwin,2B,MIDL,ML,1
Durance,Vile,SS,CASP,ML,0
Wendell,Merrill,P,Free Agent,A,7
Ken,Perkins,P,TEX,AAA,0
Augie,Johnson,P,CHES,AA,0
Bob,Caruso,P,WISC,ML,13
Jed,Prast,P,IDA,AAA,2
Bobby,Urquidez,C,LYNC,A,3
Paul,Clanton,P,ALTO,ML,5
Manuel,Britt,LF,WISC,AAA,0
Joe,Brazil,P,Free Agent,A,2
Maximo,Herdt,CF,PEOR,AA,0
Jesse,Duke,P,MAIN,ML,3
Steve,Mekee,1B,SCRN,AAA,0
Archer,Fletcher,LF,OMA,AAA,0
Rob,Buckingham,P,OMA,AAA,0
Gary,Hoffman,1B,SF,AAA,0
Jack,Marshak,P,ROCK,ML,7
Carrol,Severy,1B,IDA,AA,0
Sammy,Stewart,C,HILL,AA,0
John,Forseth,C,WISC,ML,8
Randy,Philbrook,P,SCRN,ML,2
Lenny,Ranft,P,OMA,ML,7
Thomas,Hert,P,MAHO,ML,8
Tim,Wilbur,3B,MAIN,ML,0
Walter,Roark,P,WISC,AAA,0
Saul,Petersen,C,SF,AA,0
Hippy,Birkil,P,OMA,ML,11
Hobie,Werts,P,OMA,AA,0
Gregorio,Barefoot,P,MIDL,ML,1
Bill,Sennett,C,SCRN,AAA,0
Justin,Because,LF,ROCK,ML,1
Jimmy,Willard,P,Free Agent,A,6
Tex,Carter,P,HILL,AAA,0
Pete,Nguyen,1B,HILL,AA,0
Jimmie,Mitchell,P,MAHO,AAA,0
Brian,Edminster,1B,EDMO,AAA,0
Bill,Sweeney,LF,IDA,AAA,0
Anton,Vrieze,P,ROCK,ML,6
Mike,Skarupa,2B,OMA,AA,0
Joe,Acoba,P,MAHO,ML,13
Stew,Veres,P,ALTO,ML,5
Ben,Pierotti,RF,MAIN,AAA,0
Terry,Cruise,P,LAKE,A,5
Minh,Shelor Jr,3B,PORT,ML,9
Jason,Wright,C,SCRN,AAA,0
Kelly,Moczygemba,SS,RICH,ML,0
Eric,Schikora,P,HILL,AA,0
Jimmy,Appel,P,Free Agent,A,5
Jesus,Gaston,P,ALTO,ML,2
Pumpkin,Surprise,P,CASP,A,5
Ignacio,Varga,LF,WISC,A,12
Herbert,Shimek,2B,FRIS,AAA,0
Bert,Pearce,P,WISC,AA,0
Brian,Rippin,P,Free Agent,A,4
Rodger,Yanke,P,Free Agent,A,5
Miles,Dalrymple,RF,OMA,ML,9
Luis,Pelosi,P,LOUI,AA,0
George,Nissen,RF,IDA,A,9
Troy,Wilson,P,CHES,ML,8
Nolan,Patel,P,TEX,A,10
Long,Lunderville,LF,CHES,AAA,0
Mongo,McMichael,P,TEX,A,9
Willie,Gaston,RF,EDMO,ML,6
Kyrie,Naomi,RF,MIDL,ML,7
Juan,During,CF,PORT,ML,6
Elton,Calamia,LF,FRIS,AAA,0
Joe,McNiell,LF,SF,ML,0
Will,McMichael,P,ELP,ML,3
Chris,Edgar,P,HILL,A,8
Jason,Fitzmaurice,P,FRIS,ML,8
Justin,Fuson,P,Free Agent,A,6
Seth,Kelly,3B,TEX,A,9
Ren,Lewis,CF,OMA,A,12
Antoine,Peregrino,P,ROCK,A,4
Derrick,Anderson,CF,BANG,AAA,0
Joe,Baillargeon,P,BANG,AA,0
Trip,Hawkins,P,BANG,AA,0
Vernon,Bason,P,BANG,AAA,0
Harry,Beeks,C,BANG,ML,6
Qarl,Bert,C,BANG,ML,1
Tito,Beshero,C,BANG,AA,0
Luke,Cambra,P,BANG,ML,6
Harold,Cates,SS,BANG,AA,0
Ramon,Colantuono,1B,BANG,AA,0
Nester,Contra,P,MAIN,A,7
Tom,Culpepper,2B,BANG,AA,0
Raul,Degler,P,BANG,ML,4
John,Elwood,CF,BANG,ML,1
Chester,Engebretsen,P,IDA,A,8
Tracy,Frey,1B,BANG,AAA,0
Roger,Gosha,P,BANG,AAA,0
Dave,Gotchy,C,BANG,AA,0
George,Griffith,RF,BANG,AA,0
Cannonball,Gus,P,BANG,AAA,0
Tyrone,Hammond,P,HILL,ML,11
Teeter,Harris,C,BANG,AAA,0
Willie,Hilton,2B,BANG,ML,0
Jackie,King,P,BANG,AAA,0
Dann,Kirkeby,2B,BANG,AAA,0
Matthew,Livingston,P,BANG,AA,0
Arthur,Lorts,2B,BANG,ML,0
Bob,Lucchini,P,Free Agent,A,8
Noodles,MacIntosh,LF,BANG,ML,3
Deuce,Manoogian,LF,BANG,ML,8
Arthur,Martinez,C,Free Agent,A,3
Mike,McBride,3B,BANG,AA,0
Brandon,McPherson,P,TEX,A,14
Arnold,Migdal,CF,BANG,ML,0
Eddie,Miller,3B,BANG,AAA,0
Rickey,Miller,CF,BANG,ML,1
Simon,Morris,1B,Free Agent,A,2
Glenn,Nelson,P,ELP,A,5
Jose,Ok,LF,BANG,AAA,0
Samuel,Pegues,1B,BANG,AA,0
Clifford,Pinder,RF,BANG,ML,0
Joe,Powell,LF,BANG,AA,0
Dave,Randolph,P,BANG,AA,0
Eugene,Sanz,P,BANG,A,5
Dave,Scott,CF,BANG,ML,4
Bryan,Sharko,SS,BANG,ML,5
Christopher,Sharma,1B,Free Agent,A,4
Joe,Spidell,1B,BANG,ML,3
Joe,Stickles,SS,BANG,AAA,0
Lou,Sturgis,3B,SUGR,ML,6
Paul,Triola,RF,FRIS,ML,5
Victor,Tritto,P,BANG,AAA,0
Tom,Tucker,P,BANG,AA,0
Jackie,Welles,P,BANG,ML,5
Ed,Angelo,1B,DAY,ML,1
Alfonzo,Aponte,RF,DAY,AAA,0
Todd,Barthelmes,LF,DAY,AAA,0
Clarence,Breeden,P,TEX,A,11
Bill,Brehm,P,DAY,AAA,0
Gary,Carrillo,3B,BANG,AAA,0
Dave,Cather,1B,AUCK,AA,0
Oscar,Craigen,P,DAY,ML,4
Kendall,Dain,P,BANG,A,3
John,Dougherty,3B,DAY,AA,0
Woodrow,Flowers,P,DAY,A,13
Harold,Gaudio,P,Free Agent,A,10
Spiders,Georg,P,OKC,A,13
Lance,Graham,P,DAY,AAA,0
Barbeque,Hat,P,NORW,A,11
John,Hetherington,RF,DAY,AAA,0
Brian,Hicks,RF,DAY,ML,2
Jim,Hochnadel,P,DAY,ML,3
Campbell,Howard,P,DAY,ML,1
Tanjiro,Kamado,LF,TEX,A,13
Jerry,Keefner,P,DAY,ML,7
Shawn,Kruse,P,DAY,ML,1
Nap,Lee,2B,DAY,AAA,0
Joe,Liapis,P,DAY,AAA,0
Mike,Lira,CF,SCRN,AAA,0
Russell,Maddox,P,Free Agent,A,1
Glover,Massett,1B,DAY,AAA,0
John,Miller,3B,DAY,AAA,0
Adrian,Monk,P,EDMO,A,14
Steven,Nelson,3B,DAY,AAA,0
Rube,Perez,P,ROCK,A,3
Avery,Reece,P,DAY,AAA,0
Jim,Schaub,2B,DAY,AA,0
Bob,Vasquez,SS,DAY,ML,11
Johnnie,Verrill,C,DAY,ML,4
Jordan,Waldenmyer,CF,ROME,A,4
Jason,Wellings Jr,CF,CHES,A,5
Ernie,Alsobrook,P,LOUI,ML,9
Charlie,Ames,SS,ROCK,ML,7
Rich,Anderson,RF,NORW,ML,5
Joshua,Beckers,P,NORW,ML,1
Joe,Bindrup,SS,NORW,ML,3
Carl,Brim,P,OKC,A,14
Ben,Fung,3B,MIDL,A,5
James,Golightly,CF,NORW,AA,0
Stewie,Griffin,P,MIDL,ML,4
Roberto,Gulley,P,FRIS,ML,4
Frederick,Hill,C,NORW,AA,0
Herman,Hoelscher,P,NORW,ML,4
Jesus,Illie,P,SCRN,A,5
Ben,Johnston,SS,Free Agent,A,4
Gustavo,King,SS,NORW,AA,0
Pete,Kosmicki,P,NORW,ML,1
John,Krueger,CF,NORW,AA,0
Ignacio,Lerno,P,NORW,AA,0
Jim,Mabry,CF,NORW,AA,0
Glenn,McCracken,CF,NORW,AAA,0
Ron,McDonald,LF,NORW,AA,0
Turk,McIntyre,P,NORW,ML,2
Dewey,Nary,3B,NORW,AAA,0
Glen,Nichols,2B,NORW,AAA,0
Mike,Roafoan,2B,NORW,AAA,0
Raul,Romano,2B,NORW,AA,0
Goat,Scott,CF,NORW,AA,0
Rogelio,Scott,3B,NORW,ML,1
John,Selleck,CF,MIDL,ML,1
Winston,Smith,P,NORW,AAA,0
Jon,Snow,LF,NORW,ML,5
John,Thompson,P,NORW,ML,3
Clyde,Traxson,P,NORW,AA,0
Dave,Treptow,CF,MAIN,ML,9
Pete,Villalobos,2B,NORW,ML,2
Wallace,Wallace,P,NORW,ML,1
Mark,Watney,3B,NORW,A,14
Quincy,Bierbower,2B,ROME,AA,0
Archie,Brewer,P,ROME,AA,0
Allan,Brooks,RF,ROME,AA,0
Ed,Brown,LF,ROME,ML,2
Herman,Bue,SS,ROME,AAA,0
Ferris,Bueller,RF,ROME,AAA,0
Ed,Burns,SS,PORT,ML,6
King,Clancy,3B,ROME,AA,0
John,Crain,P,ROME,ML,8
Johnny,Dodd,P,ROME,AAA,0
John,Doe,LF,ROME,ML,2
Damien,Dudney,P,ROME,AA,0
George,Ellner,2B,ROME,AAA,0
Paul,Fields,P,ROME,AA,0
Samwise,Gamgee,P,ROME,ML,2
Mike,Gentry,LF,ROME,ML,0
Jason,Goulden,1B,ROME,AA,0
Terrance,Hegstad,LF,DAY,ML,9
Marty,Hoey,P,ROME,ML,3
Doc,Holliday,P,ROME,A,9
Willy,Jasmin,C,ROME,ML,3
Carl,Lowe,RF,ROME,AAA,0
Raistlin,Majere,P,ROME,AAA,0
Roosevelt,Maruyama,P,FRIS,ML,5
Bill,McCray,1B,ROME,ML,5
Cornelius,McIntosh,P,ROME,ML,1
Baader,Meinhof,P,ROME,ML,1
Jose,Melching,SS,PEOR,ML,4
Lawrence,Monterroso,2B,ROME,ML,2
Ernesto,Muniz,P,ROME,A,5
Tom,Olvera,CF,LAKE,A,8
Ben,Perera,CF,ROME,AA,0
Robert,Santiago,P,DAY,ML,4
Jack,Snider,CF,ROME,ML,1
Joshua,Stewart,P,ROME,AA,0
Isaac,Tunney,SS,EDMO,A,12
Israel,Turkel,C,ROME,ML,1
Joe,Willis,P,ROME,AA,0
Shinrin,Yoku,P,LOUI,ML,8
Efren,Yoshizawa,RF,ROME,AAA,2
John,Adam,P,RICH,ML,2
Sean,Aguilar,C,RICH,AAA,0
Kevin,Aiken,RF,RICH,AAA,0
Arnold,Anderson,3B,RICH,ML,1
Rene,Appleby,P,RICH,AAA,0
Mike,Barresi,P,RICH,AA,0
Tony,Bearse,1B,RICH,AAA,0
Daniel,Bergholm Jr,P,MAIN,ML,1
General,Booty,P,RICH,AAA,0
Manny,Bothans,C,NORW,AAA,0
Tyrone,Bradigan,3B,RICH,AA,0
Cedric,Byrd,1B,RICH,ML,7
Emmanuel,Cain,P,RICH,AAA,2
Colton,Campbell,P,RICH,ML,6
Ronnie,Clark,C,RICH,ML,3
Jacob,Dallavalle,2B,RICH,AAA,0
Denny,Diaz,P,RICH,ML,4
Jose,Dibartolomeo,LF,RICH,AAA,0
Bill,Dominique,1B,RICH,AA,0
Pampero,Firpo,P,MAIN,ML,1
Matt,Gaudet,C,RICH,AAA,0
Bradley,Gruenwald,3B,RICH,AAA,0
Dan,Hastings,P,RICH,AA,0
Manny,Heathcock,P,CASP,AAA,0
Shawn,Hill,SS,RICH,AA,0
Dave,Huskin,1B,Free Agent,A,6
Tanka,Jahari,2B,RICH,ML,3
Shawn,Janousek,P,RICH,ML,10
Torpedo,Jones,P,Free Agent,A,0
Marcel,Jorgensen,P,RICH,AA,0
Dale,Juckett,P,RICH,AA,0
Tyrone,Jungwirth,LF,RICH,AA,0
Bryan,Kim,LF,RICH,AA,0
Matt,Kinney,3B,RICH,AA,0
Neil,Knox,P,LOUI,ML,12
Leo,Kovalsky,P,RICH,AA,0
Jerold,Lambdin,P,RICH,AA,0
Nolan,Lawing,P,RICH,AAA,0
James,Mallen,P,RICH,AA,0
Sleve,McDichael,SS,RICH,ML,10
Milt,Messer,P,FRIS,ML,4
Santiago,Milbrath,CF,RICH,AA,0
Arthur,Miller,P,SUGR,A,5
Alton,Morales,P,RICH,ML,2
Bill,Morris,P,RICH,AAA,0
Munetaka,Murakami,3B,RICH,ML,2
Richard,Nguyen,P,SF,ML,6
Sam,Nickels,P,RICH,AA,0
Rob,Padfield,RF,RICH,AAA,0
Dave,Posey,2B,Free Agent,A,2
Louis,Prater,C,RICH,AA,0
Cameron,Repetti,P,LAKE,A,10
Maxwell,Rumer,2B,RICH,AA,0
Patrick,Schwarz,1B,RICH,AAA,0
John,Soules,SS,RICH,AA,0
Barry,Sweet,CF,RICH,AAA,0
Elijah,Teitsworth,P,RICH,ML,5
Vis,Telimus,P,RICH,ML,8
Mike,Tumaneng,P,RICH,AAA,0
Lucius,Vorenus,CF,CASP,ML,5
Wayne,Watson,C,RICH,AA,0
Eldon,Wiggins,P,RICH,AA,0
Scott,Willaims,C,RICH,AA,0
Don,Woodcock,RF,SUGR,ML,5
Foots,Zeckelman,RF,RICH,AAA,0
Alvin,Boyle,P,AUCK,AAA,0
Will,Scott,LF,AUCK,AAA,0
Dusty,Wicks,P,Free Agent,A,12
Blondie,Johnson,P,AUCK,AA,0
Rich,Beckham,P,AUCK,ML,2
Thomas,Ruden,CF,AUCK,AAA,0
Beefy,Bothan,C,AUCK,ML,1
